"x","n"
" MOUETTE SECURITIES",1
" MUFG",1
" NEEDHAM & COMPANY",1
" NEEDHAM & COMPANY",3
" NEEDHAM & COMPANY",6
" NOBLESSED SECURITIES",1
" NOMURA",1
" NORTHLAND CAPITAL MARKETS",1
" NORTHLAND CAPITAL MARKETS",1
" OCEANWIDE SECURITIES",2
" ODDO BHF",1
" OPPENHEIMER & CO.",1
" OPPENHEIMER & CO.",1
" OPPENHEIMER & CO.",4
" OPUS CAPITAL",2
" ORIENT CAPITAL",2
" PARAGON SECURITIES",1
" PF GROUP",4
" PICKERING",1
" PING AN SECURITIES",2
" PINGAN OF CHINA SECURITIES",3
" PINGAN SECURITIES",1
" PIPER JAFFRAY",4
" PIPER JAFFRAY",5
" PIPER JAFFRAY",1
" PROMISING SECURITIES",1
" PULSAR CAPITAL",1
" QUASAR SECURITIES",3
" RAFFAELLO CAPITAL",2
" RAYMOND JAMES",8
" RAYMOND JAMES",4
" RBC CAPITAL MARKETS",7
" RBC CAPITAL MARKETS",7
" RBC CAPITAL MARKETS
",2
" REGIONS SECURITIES LLC",1
" RHB SECURITIES",2
" ROTH CAPITAL PARTNERS",1
" RUIBANG SECURITIES",2
" SACHS & CO.",1
" SACHS & CO. LLC",1
" SANDLER O’NEILL + PARTNERS",1
" SANFULL SECURITIES",1
" SBI CHINA CAPITAL",2
" SHENWAN HONGYUAN",1
" SHENWAN HONGYUAN CAPITAL",1
" SILK ROAD INTERNATIONAL",2
" SIMMONS & COMPANY INTERNATIONAL",1
" SIMMONS & COMPANY INTERNATIONAL",1
" SINCERE SECURITIES",3
" SINOMAX SECURITIES",1
" SOMERLEY CAPITAL",1
" SORRENTO SECURITIES",2
" SOUTH CHINA FINANCIAL",1
" SOUTHWEST SECURITIES",1
" SPDB INTERNATIONAL",4
" SSIF",1
" STEPHENS INC.",4
" STEPHENS INC.",2
" STIFE",1
" STIFEL",8
" STIFEL",1
" STIFEL
",1
" STIFEL              ",1
" SUCCESS SECURITIES",1
" SUNFUND SECURITIES",1
" SUNTRUST ROBINSON HUMPHREY",4
" SUNTRUST ROBINSON HUMPHREY",1
" SUNTRUST ROBINSON HUMPHREY",7
" SUNWAH KINGSWAY CAPITAL",1
" SUPREME CHINA SECURITIES",2
" TEBON SECURITIES",1
" THOMAS WEISEL PARTNERS LLC",1
" TPG CAPITAL BD",1
" TUDOR",1
" UBS",5
" UBS INVESTMENT BANK",9
" UBS INVESTMENT BANK",6
" UBS INVESTMENT BANK
",1
" UOBKAYHIAN",1
" VBG CAPITAL",2
" VICTORY SECURITIES",2
" WEALTHLINK SECURITIES",4
" WEDBUSH PACGROW",3
" WEDBUSH PACGROW",1
" WEDBUSH PACGROW    ",1
" WELLINGTON FINANCIAL",1
" WELLS FARGO SECURITIES",5
" WELLS FARGO SECURITIES",1
" WELLS FARGO SECURITIES",6
" WILLIAM BLAIR",11
" WILLIAM BLAIR",5
" WILLIAM BLAIR    ",1
" WOLFE CAPITAL MARKETS AND ADVISORY",1
" YICKO SECURITIES",1
" YUANTA SECURITIES",1
" YUANYIN SECURITIES",2
" YUEXIU SECURITIES",2
" ZHONG JIA SECURITIES",1
" ZHONGTAI INTERNATIONAL",2
"AAA",2
"ABC INTERNATIONAL",3
"AJ SECURITIES",1
"ALLEN & COMPANY LLC",1
"ALLIANCE CAPITAL",4
"ALPHA FINANCIAL GROUP",6
"AMPLE CAPITAL",1
"AMTD",1
"BAIRD",1
"BALLAS CAPITAL",1
"BARCLAYS",2
"BENCHMARK",2
"BMO CAPITAL MARKETS",2
"BNP PARIBAS",1
"BOC INTERNATIONAL",1
"BOCOM INTERNATIONAL",1
"BOFA MERRILL LYNCH",6
"BOFA MERRILL LYNCH",8
"BOUSTEAD SECURITIES",2
"CANTOR",3
"CANTOR FITZGERALD",1
"CCB INTERNATIONAL",5
"CENTURY SECURITIES",1
"CFSG",1
"CHANGJIANG FINANCING SERVICES",3
"CHAOSHANG SECURITIES",1
"CHARDAN",1
"CHARDAN CAPITAL MARKETS",1
"CHINA EVERBRIGHT CAPITAL",1
"CHINA GALAXY SECURITIES",1
"CHINA MERCHANTS SECURITIES (HK)",1
"CHINA RENAISSANCE HOLDINGS",1
"CHINA SECURITIES",10
"CHINA SECURITIES ",1
